base	rate ID	period start	period end	fee
6164,00	d0ca8be6-1e14-4ad4-8760-1f67d0e3af89	01/01/2021	01/01/2021	0,00
7734,00	098774c6-a834-4213-a2d3-b35e8480851f	22/09/2021	23/10/2021	5,91
4177,00	f1d64162-1af0-4f79-b9a3-f5247ea07809	06/09/2021	23/11/2021	16,07
2053,00	1f1f54f1-6263-496c-9dbf-72fa5deef60f	01/11/2021	13/12/2021	5,67
8287,00	1e760cd7-30f5-4e7b-a77e-3e678116a82a	04/02/2021	02/03/2021	3,54
7640,00	098774c6-a834-4213-a2d3-b35e8480851f	18/08/2021	15/09/2021	5,27
2135,00	1f1f54f1-6263-496c-9dbf-72fa5deef60f	30/01/2021	09/06/2021	18,25
9522,00	240ee602-ad4f-4792-8ca8-ab813a2ea6b3	11/12/2021	18/12/2021	0,55
2692,00	1f1f54f1-6263-496c-9dbf-72fa5deef60f	09/09/2021	11/10/2021	5,66
7769,00	098774c6-a834-4213-a2d3-b35e8480851f	13/10/2021	15/11/2021	6,32
2822,00	1f1f54f1-6263-496c-9dbf-72fa5deef60f	12/03/2021	15/03/2021	0,56
1918,00	5a3eb9fa-f7b5-4e44-8506-c4359050f980	24/12/2021	25/12/2021	0,14
8197,00	1e760cd7-30f5-4e7b-a77e-3e678116a82a	19/02/2021	24/06/2021	16,84
6010,00	d0ca8be6-1e14-4ad4-8760-1f67d0e3af89	06/03/2021	09/11/2021	49,00
1577,00	5a3eb9fa-f7b5-4e44-8506-c4359050f980	26/12/2021	27/12/2021	0,12
2336,00	1f1f54f1-6263-496c-9dbf-72fa5deef60f	06/02/2021	18/04/2021	10,91
6347,00	d0ca8be6-1e14-4ad4-8760-1f67d0e3af89	11/09/2021	08/12/2021	18,36
